measure,channel,outcome,family,battery,tau,horizon,beta,se,pvalue,ci_low,ci_high,nobs,converged
LEVEL,pooled,dxy,asset_price,a,0.1,14,5.941619315308344e-05,0.012743920516371039,0.996284740819818,-0.020902467689781098,0.021021300076087265,211,True
LEVEL,pooled,dxy,asset_price,a,0.1,15,0.013129301438923796,0.011720358602934917,0.26399365572695543,-0.0061489729182855925,0.03240757579613318,210,True
LEVEL,pooled,dxy,asset_price,a,0.1,16,0.002433670592319359,0.011330966612661078,0.8301629123991379,-0.016204110937382252,0.02107145212202097,209,True
LEVEL,pooled,dxy,asset_price,a,0.1,17,-0.02120799287892261,0.009442023055585398,0.02582326630747838,-0.036738738747661676,-0.0056772470101835466,208,True
LEVEL,pooled,dxy,asset_price,a,0.1,18,-0.0012339747102600995,0.008547407078439628,0.8853602799509616,-0.015293208244262209,0.01282525882374201,207,False
LEVEL,pooled,dxy,asset_price,a,0.1,19,0.0017928035847916135,0.011846562152226004,0.8798700760837318,-0.017693057138203367,0.021278664307786594,206,True
LEVEL,pooled,dxy,asset_price,a,0.1,20,-0.01776226551438742,0.008539348312108175,0.03885571443927825,-0.031808243557360484,-0.0037162874714143576,205,True
LEVEL,pooled,dxy,asset_price,a,0.1,21,-0.0044511747423890136,0.008273883277639137,0.5912212156688241,-0.018060501660586883,0.009158152175808855,204,True
LEVEL,pooled,dxy,asset_price,a,0.1,22,0.015419593657671982,0.007629011387582749,0.04467198534950665,0.0028709866067524147,0.02796820070859155,203,True
LEVEL,pooled,dxy,asset_price,a,0.1,23,-0.011615247858642874,0.007106449630551111,0.10383447820751338,-0.02330431730820282,7.382159091707044e-05,202,False
LEVEL,pooled,dxy,asset_price,a,0.1,24,0.001864074760337786,0.005759531263979991,0.7465643772750017,-0.007609511128760099,0.011337660649435671,201,True
LEVEL,pooled,vix,asset_price,a,0.1,0,-1.2147982481837971,0.7078978183984764,0.08761799040423017,-2.3791865422875658,-0.05040995408002846,225,True
LEVEL,pooled,vix,asset_price,a,0.1,1,-0.9748703365330584,1.6594750418255573,0.5575278883936422,-3.7044638779152725,1.7547232048491557,224,False
LEVEL,pooled,vix,asset_price,a,0.1,2,0.3266338943340088,1.6238681959388734,0.8407803708520142,-2.344391597447191,2.9976593861152088,223,True
LEVEL,pooled,vix,asset_price,a,0.1,3,0.4454961280152929,1.3590551329136888,0.7433937889746869,-1.7899506365848032,2.680942892615389,222,True
LEVEL,pooled,vix,asset_price,a,0.1,4,0.32796169336415915,1.0997434570600542,0.7658370176919034,-1.4809553206972215,2.1368787074255398,221,True
LEVEL,pooled,vix,asset_price,a,0.1,5,0.25538467812293675,1.4514379762933767,0.8605038137404293,-2.1320183414783287,2.642787697724202,220,True
LEVEL,pooled,vix,asset_price,a,0.1,6,1.2477740479989734,1.7587450496351085,0.4788399917384853,-1.6451041257762817,4.1406522217742285,219,False
LEVEL,pooled,vix,asset_price,a,0.1,7,0.06896829996549059,1.8404542559471602,0.9701440977043714,-2.958309558167469,3.09624615809845,218,True
LEVEL,pooled,vix,asset_price,a,0.1,8,0.15700427732622302,1.5379104816187872,0.9187865268707238,-2.3726333562911246,2.6866419109435706,217,True
LEVEL,pooled,vix,asset_price,a,0.1,9,-0.9653988279676469,1.65372615516797,0.5600250807625384,-3.6855362922801955,1.7547386363449018,216,True
LEVEL,pooled,vix,asset_price,a,0.1,10,3.032935152526079,1.5702358152070153,0.0548255917378855,0.4501270767137182,5.61574322833844,215,True
LEVEL,pooled,vix,asset_price,a,0.1,11,2.5481579091929234,1.8787149773388818,0.17652329747514284,-0.542053235290989,5.638369053676836,214,True
LEVEL,pooled,vix,asset_price,a,0.1,12,2.190285548915199,2.7829282284487826,0.4321927319340824,-2.3872240411944166,6.767795139024814,213,True
LEVEL,pooled,vix,asset_price,a,0.1,13,1.1523199697985547,2.365773482804609,0.6267407185572954,-2.739031123938223,5.043671063535332,212,True
LEVEL,pooled,vix,asset_price,a,0.1,14,2.136461542453617,1.6415104272372816,0.1945999015659371,-0.5635828374662863,4.8365059223735205,211,False
LEVEL,pooled,vix,asset_price,a,0.1,15,-1.7327579187322044,1.8298493935773505,0.3448352521547453,-4.742592330532862,1.2770764930684524,210,True
LEVEL,pooled,vix,asset_price,a,0.1,16,0.570850913063623,2.6356465730680965,0.8287554165578962,-3.764401912009654,4.9061037381369,209,True
LEVEL,pooled,vix,asset_price,a,0.1,17,0.45059832351807927,2.297353820777846,0.8447074755628627,-3.328212440979183,4.229409088015341,208,True
LEVEL,pooled,vix,asset_price,a,0.1,18,-2.7236245875319582,2.076004578897332,0.1910936451640911,-6.138348248699098,0.6910990736351819,207,True
LEVEL,pooled,vix,asset_price,a,0.1,19,0.8082619779743254,2.5480737652774543,0.7514326516604993,-3.3829463965821898,4.999470352530841,206,False
LEVEL,pooled,vix,asset_price,a,0.1,20,-1.8727934604103211,1.9289693529586205,0.33283702416586186,-5.045665696902542,1.3000787760819001,205,True
LEVEL,pooled,vix,asset_price,a,0.1,21,-2.255012177309254,2.0695778042981767,0.2772693540238691,-5.659164734967375,1.1491403803488658,204,True
LEVEL,pooled,vix,asset_price,a,0.1,22,0.39642391190864146,1.9381593778792638,0.838154535271545,-2.7915645704060745,3.5844123942233574,203,True
LEVEL,pooled,vix,asset_price,a,0.1,23,-1.8679896501453186,2.0883195324106922,0.3722012793924965,-5.302969607264648,1.5669903069740112,202,True
LEVEL,pooled,vix,asset_price,a,0.1,24,-2.259696249099079,2.1675664420917617,0.29852403941963673,-5.825025773032012,1.3056332748338533,201,True
