channel,outcome,horizon,nobs,beta_p,p_p,beta_s,p_s,std_p,std_s
pooled,ip,1,314,0.9188593429364567,0.4569986853419552,-0.009396960381621538,0.9845164188039957,0.06911888567742841,-0.002131902866824223
pooled,ip,2,313,-1.1865117187303271,0.1619345311453083,-0.6112099276164221,0.23615044044851818,-0.08823335404603831,-0.138876673709131
pooled,ip,6,309,0.26606015516717607,0.6047801068749237,0.12639939284646395,0.5404967308214859,0.0198277571778173,0.027922956104377696
pooled,cpi,1,314,0.2873489992489866,0.2951967539233692,0.04552259854980418,0.6430052377409385,0.021615106578926808,0.010327782007405766
pooled,cpi,2,313,0.049595213684741006,0.825554033832923,-0.09828500923724508,0.25496863661318614,0.003688081608428895,-0.022331926465215802
pooled,cpi,6,309,0.10573791150521225,0.5156140768255509,0.06149885208277778,0.29605168746849575,0.007879968469903133,0.013585743637731885
pooled,infl_exp,1,314,-0.21086983322274544,0.6322311166577539,-0.1068442469450253,0.36934458061194353,-0.0158621534486038,-0.024239918773230874
pooled,infl_exp,2,313,-0.03630874697269077,0.8740412420220189,0.09537738396810196,0.5789066397501255,-0.002700051315159052,0.021671267487790573
pooled,infl_exp,6,309,0.24103834992251946,0.24337562609785457,0.04578934805765413,0.5028409519441596,0.017963042492411097,0.010115348872086902
pooled,oil,1,314,-0.010419130830307835,0.9164693423392631,-0.06972647100153835,0.16559409058323193,-0.0007837529413552682,-0.0158189518083362
pooled,oil,2,313,-0.0027499448425793442,0.9775726662720214,0.006364638665663657,0.844656874436348,-0.0002044959633117011,0.0014461477265182788
pooled,oil,6,309,-0.0655011101282879,0.41116261474581495,-0.02252076192935896,0.4736530171234361,-0.004881377693270577,-0.004975073318227752
pooled,vix,1,314,3.410205699518918,0.4928897569921873,1.0005879144439147,0.5894392252730101,0.2565241564919945,0.22700492038730455
pooled,vix,2,313,1.760203280566631,0.6922044475361123,-0.6900724842608741,0.6748710863058658,0.13089515829934464,-0.15679550822428745
pooled,vix,6,309,1.1158597050838108,0.8302890327302501,0.8764160088326158,0.5592865670781705,0.08315786805059412,0.19360951973505972
act,ip,1,314,0.5479933544457488,0.2498700504276603,-0.03490955581743932,0.8790251271847616,0.054110202862365564,-0.010145591469951119
act,ip,2,313,-0.4974529643993708,0.1803581217681629,-0.4102493991142705,0.04203525375989453,-0.04799233006888572,-0.11941954707357173
act,ip,6,309,0.07509642785796057,0.8676533887612125,0.0417369477701193,0.7637199966880832,0.007261076004673093,0.011607989066668385
act,cpi,1,314,0.2425851450961338,0.25216543494630195,0.019645987360943265,0.77387480941869,0.023953449993612444,0.0057096160956703335
act,cpi,2,313,0.10522866379427429,0.44945297475987944,-0.07169001976956178,0.3042790279003621,0.010152052810902907,-0.02086825650216698
act,cpi,6,309,0.023062903876410922,0.8398050816538963,0.013584173095870134,0.8119519877771338,0.0022299529113665784,0.003778065747526526
act,infl_exp,1,314,-0.18880437766488978,0.5594965016923326,-0.1184646524093607,0.22342612849911803,-0.018643005601925184,-0.03442879575038074
act,infl_exp,2,313,-0.02617047341031447,0.8891854626253967,0.08035272185992522,0.5268224165818995,-0.0025248256375018157,0.023389883498569568
act,infl_exp,6,309,0.027415152325691146,0.8729094118044244,-0.0335811032612944,0.5578802947483854,0.002650771952735859,-0.009339664262244952
act,oil,1,314,0.007635446340375045,0.9065723476194945,-0.05850594799951852,0.02651522123362222,0.0007539426291770892,-0.017003294171643195
act,oil,2,313,0.06784918536442702,0.30326383996815964,-0.0033664068280802833,0.8989224132508975,0.006545825901040124,-0.0009799277696510406
act,oil,6,309,-0.15055590441916775,0.05698656543178451,-0.032270626769875625,0.25720236345971925,-0.01455725520004199,-0.00897519111321881
