measure,channel,outcome,family,battery,horizon,beta,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged
LEVEL,pooled,oil,asset_price,a,16,0.01593311736602961,0.04784985159145471,0.3329815419714914,0.7391482162458307,-0.06277288457326435,0.09463911930532357,-0.12045638911864194,0.15232262385070117,2.8503642529380118,209,True
LEVEL,pooled,oil,asset_price,a,17,-0.0076212850615468425,0.09083450180860882,-0.08390297639992711,0.9331335730825006,-0.1570307448137671,0.14178817469067345,-0.2665327019502386,0.2512901318271449,2.8503642529380118,208,True
LEVEL,pooled,oil,asset_price,a,18,-0.03754623784534733,0.03964230850394562,-0.9471254137889152,0.34357487612383697,-0.10275203276879148,0.027659557078096822,-0.1505412569089345,0.07544878121823982,2.8503642529380118,207,True
LEVEL,pooled,oil,asset_price,a,19,0.0014561610293475028,0.049223052350477435,0.029582908003741033,0.976399696785141,-0.0795085551589575,0.08242087721765251,-0.13884746781094975,0.14175978986964477,2.8503642529380118,206,True
LEVEL,pooled,oil,asset_price,a,20,0.051218393698093584,0.05071416481209124,1.0099425651170761,0.31252280801913923,-0.03219898423088942,0.13463577162707657,-0.09333544879989808,0.19577223619608525,2.8503642529380118,205,True
LEVEL,pooled,oil,asset_price,a,21,-0.018061874241123467,0.04273980871760095,-0.4226007271222366,0.6725865960138429,-0.08836260362548154,0.0522388551432346,-0.1398858971871816,0.10376214870493469,2.8503642529380118,204,True
LEVEL,pooled,oil,asset_price,a,22,-0.07469848566638732,0.05449599635349924,-1.3707151105530866,0.17046378250104055,-0.16433642292277473,0.01493945159000011,-0.23003192560064178,0.08063495426786715,2.8503642529380118,203,True
LEVEL,pooled,oil,asset_price,a,23,-0.02467912697463818,0.08530866822766267,-0.28929213745052446,0.7723578286224587,-0.16499939931930893,0.11564114537003259,-0.2678399053565166,0.21848165140724024,2.8503642529380118,202,True
LEVEL,pooled,oil,asset_price,a,24,0.1959008187196416,0.08644622151116894,2.2661582576438115,0.0234416953660592,0.05370943773074499,0.3380921997085382,-0.05050240087735536,0.44230403831663856,2.8503642529380118,201,True
LEVEL,pooled,dxy,asset_price,a,0,-0.003222476458577813,0.006930786064682651,-0.4649510789257589,0.6419664904811655,-0.014622605054695793,0.008177652137540167,-0.022786740852935073,0.016341787935779447,2.8228059864740715,225,True
LEVEL,pooled,dxy,asset_price,a,1,0.010268622998302678,0.00657251299062521,1.5623587222953326,0.1182035054632418,-0.0005421988325128666,0.02107944482911822,-0.00828430601781277,0.028821552014418127,2.8228059864740715,224,True
LEVEL,pooled,dxy,asset_price,a,2,0.0024334769777265984,0.00618195278469592,0.393642116411974,0.6938452821704694,-0.00773493048182324,0.012601884437276436,-0.015016976351013102,0.019883930306466298,2.8228059864740715,223,True
LEVEL,pooled,dxy,asset_price,a,3,-0.002579417324856534,0.00646669430271181,-0.39887726311337385,0.6899836432623043,-0.013216182903058477,0.008057348253345408,-0.020833640715249204,0.015674806065536135,2.8228059864740715,222,True
LEVEL,pooled,dxy,asset_price,a,4,0.0006223855804222545,0.0059747426905504926,0.10416943668663829,0.9170348879794314,-0.00920519160423152,0.01044996276507603,-0.016243153854105876,0.017487925014950386,2.8228059864740715,221,True
LEVEL,pooled,dxy,asset_price,a,5,0.0126975479350022,0.007193519649692915,1.765137033516583,0.07754073794591923,0.000865261048658127,0.024529834821346276,-0.007608362395969823,0.03300345826597423,2.8228059864740715,220,True
LEVEL,pooled,dxy,asset_price,a,6,0.0025642121526333436,0.0063065719439244885,0.40659365744707127,0.6843064563789255,-0.0078091755829612485,0.012937599888227935,-0.015238016884806124,0.02036644119007281,2.8228059864740715,219,True
LEVEL,pooled,dxy,asset_price,a,7,-0.002197889644429802,0.0067164980955318355,-0.3272374402803676,0.7434883050938617,-0.013245545897277996,0.008849766608418394,-0.02115726067663877,0.016761481387779165,2.8228059864740715,218,True
LEVEL,pooled,dxy,asset_price,a,8,-0.00828875058569794,0.00671598524733113,-1.2341823694433833,0.2171349555667238,-0.01933556327832313,0.0027580621069272487,-0.027246673946935807,0.010669172775539923,2.8228059864740715,217,True
LEVEL,pooled,dxy,asset_price,a,9,-0.0042635385764651,0.0074142579913658154,-0.5750458888037283,0.5652602623508686,-0.0164589077247171,0.007931830571786898,-0.025192550419755752,0.016665473266825548,2.8228059864740715,216,True
LEVEL,pooled,dxy,asset_price,a,10,-0.0058081866764281564,0.006693291628816241,-0.8677623803843398,0.38552442841842416,-0.016817671688330475,0.005201298335474164,-0.02470205035546743,0.013085677002611117,2.8228059864740715,215,True
LEVEL,pooled,dxy,asset_price,a,11,0.006535627812277434,0.007243389977661264,0.9022885461687717,0.3669036083816989,-0.005378688463902639,0.018449944088457508,-0.01391105677903107,0.02698231240358594,2.8228059864740715,214,True
LEVEL,pooled,dxy,asset_price,a,12,0.004821094888169848,0.006175280327100036,0.7807086695340153,0.4349738604553509,-0.0053363373553027196,0.014978527131642416,-0.012610523387323696,0.022252713163663392,2.8228059864740715,213,True
LEVEL,pooled,dxy,asset_price,a,13,-0.001481700121712576,0.007324114012064026,-0.20230434961443408,0.8396787997796891,-0.013528795618662187,0.010565395375237034,-0.02215625300058554,0.019192852757160386,2.8228059864740715,212,True
LEVEL,pooled,dxy,asset_price,a,14,-0.00794731504699378,0.006033118542226984,-1.3172814343641615,0.1877443059952304,-0.017870911963004013,0.001976281869016454,-0.024977638185099835,0.009083008091112274,2.8228059864740715,211,True
LEVEL,pooled,dxy,asset_price,a,15,0.005781142879105327,0.00633134933936877,0.9130980726585056,0.36119096391341143,-0.004633000045252202,0.016195285803462856,-0.012091027938523496,0.02365331369673415,2.8228059864740715,210,True
LEVEL,pooled,dxy,asset_price,a,16,0.0063995513023603874,0.006675518291534642,0.9586598407610966,0.3377301357765704,-0.004580699171251263,0.017379801775972037,-0.012444141693800766,0.02524324429852154,2.8228059864740715,209,True
LEVEL,pooled,dxy,asset_price,a,17,-0.005467638746305393,0.008328295459090657,-0.6565135414759155,0.5114937576141385,-0.019166465738514136,0.00823118824590335,-0.028976801025351325,0.01804152353274054,2.8228059864740715,208,True
LEVEL,pooled,dxy,asset_price,a,18,-0.014002215837010782,0.00653039726205534,-2.1441598841727743,0.03202007815835054,-0.024743763458936474,-0.0032606682150850917,-0.03243626032239448,0.00443182864837292,2.8228059864740715,207,True
LEVEL,pooled,dxy,asset_price,a,19,0.0008400205639844918,0.007016078615172282,0.11972792924069378,0.904698675162411,-0.0107004017931583,0.012380442921127282,-0.01896500815249654,0.020645049280465524,2.8228059864740715,206,True
LEVEL,pooled,dxy,asset_price,a,20,-0.0033189027399402786,0.006866785900619888,-0.4833269579062702,0.628863601800042,-0.014613760434074134,0.007975954954193575,-0.022702507088045845,0.01606470160816529,2.8228059864740715,205,True
LEVEL,pooled,dxy,asset_price,a,21,-0.002931490087355738,0.007209253405704052,-0.40662880362012327,0.6842806387373959,-0.0147896566993403,0.008926676524628824,-0.023281813758985723,0.017418833584274245,2.8228059864740715,204,True
LEVEL,pooled,dxy,asset_price,a,22,0.00775727945654836,0.005730119068972912,1.3537728209788846,0.1758088672935253,-0.0016679276769155276,0.017182486590012248,-0.00841773495455761,0.02393229386765433,2.8228059864740715,203,True
LEVEL,pooled,dxy,asset_price,a,23,-0.003229928450296574,0.006139432664389922,-0.5260955900747766,0.5988217925340811,-0.013328396535742677,0.006868539635149528,-0.020560355728890905,0.014100498828297756,2.8228059864740715,202,True
LEVEL,pooled,dxy,asset_price,a,24,-0.012078362471318809,0.006212484924228407,-1.9442079326766246,0.05187038157630947,-0.022296990831317247,-0.0018597341113203714,-0.029615002106310677,0.005458277163673059,2.8228059864740715,201,True
