measure,channel,outcome,family,battery,horizon,beta,beta_std,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged
LEVEL,pooled,oil,asset_price,a,0,0.013216317115944903,0.004714495441096619,0.05242129565173463,0.25211733040229756,0.8009503748288422,-0.07300904116630624,0.09944167539819604,-0.1347276343707214,0.1611602686026112,2.822210890580512,309,True
LEVEL,pooled,oil,asset_price,a,1,-0.054610493109997445,-0.019480534444236818,0.05233610333052066,-1.0434573771209756,0.29673651151862,-0.14069572249371137,0.03147473627371649,-0.20231401389993986,0.09309302767994498,2.822210890580512,308,True
LEVEL,pooled,oil,asset_price,a,2,0.00639141283867057,0.0022799306664430387,0.033458645661256864,0.19102425434008072,0.8485065908308199,-0.04864316183013192,0.06142598750747306,-0.08803594133060294,0.1008187670079441,2.822210890580512,307,True
LEVEL,pooled,oil,asset_price,a,3,-0.01206920438829355,-0.004305299923351995,0.04216703797085588,-0.2862236706461404,0.774706815235027,-0.0814278097324563,0.057289400955869194,-0.131073478173165,0.10693506939657789,2.822210890580512,306,True
LEVEL,pooled,oil,asset_price,a,4,0.03250318918882797,0.011594465833977134,0.026678949457728324,1.2183084360322323,0.22310678547302165,-0.011379777589971475,0.0763861559676274,-0.04279043252001996,0.1077968108976759,2.822210890580512,305,True
LEVEL,pooled,oil,asset_price,a,5,-0.022499640247361355,-0.008026021957699924,0.046882017688376305,-0.4799204760536534,0.6312839408110781,-0.0996136970808902,0.05461441658616749,-0.15481058113988516,0.10981130064516247,2.822210890580512,304,True
LEVEL,pooled,oil,asset_price,a,6,-0.0013629274062119069,-0.0004861804530537161,0.03109179562666069,-0.043835596456938616,0.9650354524750364,-0.05250438021115866,0.049778525398734855,-0.08911053163147725,0.08638467681905343,2.822210890580512,303,True
LEVEL,pooled,oil,asset_price,a,7,-0.0007391187394093779,-0.00026365680369235466,0.03361892438150332,-0.021985198902319165,0.9824597622503515,-0.0560373284425324,0.05455909096371364,-0.09561881325849077,0.09414057577967201,2.822210890580512,302,True
LEVEL,pooled,oil,asset_price,a,8,0.019971568820442532,0.00712421390388165,0.029946030962696286,0.6669187260682752,0.5048240488790863,-0.029285268821349537,0.0692284064622346,-0.06454244589214014,0.1044855835330252,2.822210890580512,301,True
LEVEL,pooled,oil,asset_price,a,9,-0.005882581978598235,-0.002098421646263268,0.03354610385346663,-0.17535812815384022,0.8607982396236529,-0.06106101257206358,0.04929584861486711,-0.10055676161039664,0.08879159765320019,2.822210890580512,300,True
LEVEL,pooled,oil,asset_price,a,10,0.0673418677159623,0.024022042264618997,0.028855088031982636,2.3337952613875714,0.019606445056424913,0.019879471510551645,0.11480426392137297,-0.01409327597655849,0.1487770114084831,2.822210890580512,299,True
LEVEL,pooled,oil,asset_price,a,11,-0.017100024915531642,-0.006099883106591812,0.030441658189269,-0.5617310597607189,0.5742992691213578,-0.06717209679856774,0.032972046967504456,-0.10301280418461604,0.06881275435355276,2.822210890580512,298,True
LEVEL,pooled,oil,asset_price,a,12,-0.010149445595830305,-0.0036204878084736486,0.02802029509040883,-0.3622176555629636,0.7171893868790324,-0.0562387296035398,0.035939838411879185,-0.08922862755726177,0.06892973636560115,2.822210890580512,297,True
LEVEL,pooled,oil,asset_price,a,13,0.0006575092161657716,0.00023454523487127446,0.025465753776535545,0.025819350251144287,0.9794014277248208,-0.04122992824622187,0.042544946678553415,-0.07121221842881466,0.07252723686114619,2.822210890580512,296,True
LEVEL,pooled,oil,asset_price,a,14,0.00018010264874069603,6.424581893491674e-05,0.031650136824931785,0.005690422437568221,0.9954597242956726,-0.051879739701258705,0.052239944998740094,-0.08914325818694509,0.08950346348442649,2.822210890580512,295,True
LEVEL,pooled,oil,asset_price,a,15,0.006612384138379398,0.002358755060254959,0.03349139924910787,0.19743529045163843,0.843486915307119,-0.048476065388195495,0.06170083366495429,-0.08790740756323281,0.10113217583999162,2.822210890580512,294,True
LEVEL,pooled,oil,asset_price,a,16,0.005070873251281844,0.0018088707024670875,0.02992988213869376,0.16942509922971433,0.8654622825482786,-0.04415940193877867,0.05430114844134236,-0.07939756607433084,0.08953931257689453,2.822210890580512,293,True
LEVEL,pooled,oil,asset_price,a,17,-0.023393247312987708,-0.008344787495789539,0.052983881078177114,-0.441516303391804,0.6588392613085627,-0.11054397627439282,0.0637574816484174,-0.17292493351704188,0.1261384388910665,2.822210890580512,292,True
LEVEL,pooled,oil,asset_price,a,18,-0.03366362972574986,-0.012008415618397909,0.028900738169614797,-1.1648017267995805,0.2440992597531616,-0.08120111372561561,0.013873854274115888,-0.11522760773385264,0.047900348282352914,2.822210890580512,291,True
LEVEL,pooled,oil,asset_price,a,19,0.024711962638125366,0.008815196712965866,0.03360199070472985,0.7354315062841466,0.46207673975803853,-0.030558393645339185,0.07998231892158991,-0.07011994147394836,0.11954386675019908,2.822210890580512,290,True
LEVEL,pooled,oil,asset_price,a,20,0.038247367487852145,0.013643516425455731,0.02893545393401349,1.3218167433997827,0.18622918150185164,-0.009347218862997192,0.08584195383870148,-0.04341458572861145,0.11990932070431573,2.822210890580512,289,True
LEVEL,pooled,oil,asset_price,a,21,0.009262009251821,0.0033039234765655004,0.022886661149665383,0.4046902775050006,0.6857051896784561,-0.028383198349015457,0.04690721685265746,-0.05532897509379055,0.07385299359743254,2.822210890580512,288,True
LEVEL,pooled,oil,asset_price,a,22,-0.01235508575141858,-0.004407278891571621,0.02893294101845392,-0.42702488293666024,0.6693612039817918,-0.05994553872399553,0.035235367221158366,-0.09400994699022285,0.06929977548738568,2.822210890580512,287,True
LEVEL,pooled,oil,asset_price,a,23,-0.0364372566787785,-0.01299781769695278,0.05064706265873488,-0.7194347463799922,0.47187309444906855,-0.11974426138743705,0.04686974802988004,-0.17937394849017366,0.10649943513261664,2.822210890580512,286,True
LEVEL,pooled,oil,asset_price,a,24,0.08278433932449854,0.029530646617784363,0.05286640081480082,1.5659159323991978,0.11736829941519379,-0.004173151799596847,0.16974183044859392,-0.06641579280082678,0.23198447144982387,2.822210890580512,285,True
LEVEL,pooled,dxy,asset_price,a,0,-0.003153152797179259,-0.001124785699145193,0.004759936411011101,-0.66243590773295,0.5076918975408973,-0.010982551466889243,0.004676245872530724,-0.016599673034340512,0.010293367439981995,2.824936947908713,309,True
LEVEL,pooled,dxy,asset_price,a,1,0.0005294507988377815,0.00018886451917790757,0.004263510452700444,0.12418189299909779,0.9011712585511946,-0.006483399832832057,0.0075423014305076195,-0.011514697406790706,0.012573599004466269,2.824936947908713,308,True
