measure,channel,outcome,family,battery,tau,horizon,beta,se,pvalue,ci_low,ci_high,nobs,converged
LEVEL,pooled,dxy,asset_price,a,0.1,1,-0.010704126740246345,0.004804656599278575,0.02664604757804772,-0.018607083573826035,-0.002801169906666654,308,True
LEVEL,pooled,dxy,asset_price,a,0.1,2,0.005085262144921679,0.0047473658439103,0.2849720555532708,-0.0027234597818997144,0.012893984071743072,307,True
LEVEL,pooled,dxy,asset_price,a,0.1,3,0.00015586374169851425,0.004654992821806109,0.973312192534372,-0.007500918084682333,0.007812645568079361,306,True
LEVEL,pooled,dxy,asset_price,a,0.1,4,0.010517335714588683,0.005627764021165208,0.06265094084937389,0.0012604876527480893,0.019774183776429276,305,False
LEVEL,pooled,dxy,asset_price,a,0.1,5,-0.0018214480346170348,0.007020241748161752,0.7954670539172747,-0.013368718136157037,0.009725822066922967,304,True
LEVEL,pooled,dxy,asset_price,a,0.1,6,-0.004016185900887148,0.010968542864177089,0.7145173753560511,-0.02205783341340152,0.014025461611627224,303,True
LEVEL,pooled,dxy,asset_price,a,0.1,7,-0.016234231676511834,0.006195775990468493,0.009253686122194914,-0.026425376286212787,-0.006043087066810882,302,True
LEVEL,pooled,dxy,asset_price,a,0.1,8,-0.008304428912317086,0.01315836515037773,0.5284682500700565,-0.029948013554667748,0.013339155730033577,301,True
LEVEL,pooled,dxy,asset_price,a,0.1,9,7.051483339592934e-05,0.006297654007947749,0.991074079487342,-0.010288204202862401,0.01042923386965426,300,True
LEVEL,pooled,dxy,asset_price,a,0.1,10,-0.0007571777231305532,0.0051625214364821,0.8834976132669182,-0.00924876983214286,0.007734414385881754,299,True
LEVEL,pooled,dxy,asset_price,a,0.1,11,0.00346345324567518,0.005667506224476228,0.541617488363403,-0.0058587649234245875,0.012785671414774947,298,True
LEVEL,pooled,dxy,asset_price,a,0.1,12,0.007333748247550176,0.010938304063422387,0.5031082784766087,-0.010658160863868164,0.025325657358968516,297,True
LEVEL,pooled,dxy,asset_price,a,0.1,13,-0.00498669043427169,0.005190414515931027,0.33750095131351554,-0.01352416257618241,0.00355078170763903,296,True
LEVEL,pooled,dxy,asset_price,a,0.1,14,-0.005452904327803987,0.005174275472127495,0.2928574228838996,-0.013963830104978939,0.003058021449370965,295,True
LEVEL,pooled,dxy,asset_price,a,0.1,15,0.004512089526178986,0.01041781631316759,0.6652662760218652,-0.01262369342144894,0.021647872473806912,294,True
LEVEL,pooled,dxy,asset_price,a,0.1,16,0.010081729148197827,0.011382877892481949,0.3765459928550895,-0.008641438838396836,0.02880489713479249,293,True
LEVEL,pooled,dxy,asset_price,a,0.1,17,0.0033262380299525773,0.006066679164275609,0.5839397528629363,-0.006652561196957084,0.013305037256862239,292,True
LEVEL,pooled,dxy,asset_price,a,0.1,18,-0.0043309846648522665,0.0067252132776195,0.5201133775059597,-0.0153929761165669,0.006731006786862366,291,True
LEVEL,pooled,dxy,asset_price,a,0.1,19,-0.008332337542326762,0.006720067754412006,0.2160586199622058,-0.019385865361530984,0.0027211902768774603,290,True
LEVEL,pooled,dxy,asset_price,a,0.1,20,-0.006113592379493049,0.006452692858570912,0.34424222358784196,-0.016727327631517276,0.004500142872531178,289,True
LEVEL,pooled,dxy,asset_price,a,0.1,21,0.0013070636328857965,0.005655578677177585,0.8174014371465665,-0.007995535466779164,0.010609662732550757,288,True
LEVEL,pooled,dxy,asset_price,a,0.1,22,0.012470636833228799,0.005993793682407024,0.038403726235729636,0.0026117235555227856,0.022329550110934814,287,True
LEVEL,pooled,dxy,asset_price,a,0.1,23,-0.00986716680606281,0.01055203106328443,0.350568016854351,-0.027223713372210804,0.007489379760085183,286,True
LEVEL,pooled,dxy,asset_price,a,0.1,24,0.0026910968068287744,0.010880593080399717,0.804840137949599,-0.015205886184849794,0.020588079798507342,285,True
LEVEL,pooled,vix,asset_price,a,0.1,0,-1.3682041084866796,0.5692097279799193,0.016847386426299453,-2.304470794050511,-0.4319374229228484,309,True
LEVEL,pooled,vix,asset_price,a,0.1,1,-1.0760940165864668,0.926332666696475,0.24631125936237014,-2.5997756631657927,0.4475876299928594,308,True
LEVEL,pooled,vix,asset_price,a,0.1,2,-0.7000471295684747,0.785281232029669,0.37341369503157823,-1.9917198122493964,0.591625553112447,307,True
LEVEL,pooled,vix,asset_price,a,0.1,3,-0.14138730481499806,0.757652925726866,0.8520942579103025,-1.387615467667228,1.104840858037232,306,True
LEVEL,pooled,vix,asset_price,a,0.1,4,-0.6864732926223951,0.8382040870157793,0.41346739792323545,-2.0651963252758474,0.692249740031057,305,True
LEVEL,pooled,vix,asset_price,a,0.1,5,-0.5318395558715565,0.794142015933269,0.5035797908935497,-1.8380869310939478,0.7744078193508348,304,True
LEVEL,pooled,vix,asset_price,a,0.1,6,0.9792256097516656,0.9672806655245129,0.3122180202949985,-0.6118095012163631,2.5702607207196944,303,True
LEVEL,pooled,vix,asset_price,a,0.1,7,-0.2635905048864515,1.0272451703136716,0.7976712364769063,-1.953258449045277,1.4260774392723738,302,True
LEVEL,pooled,vix,asset_price,a,0.1,8,-0.04635764854901936,0.7563644950268797,0.9511708413863063,-1.2904665314913013,1.1977512343932626,301,True
LEVEL,pooled,vix,asset_price,a,0.1,9,-0.9496347189651715,0.8701227978755685,0.27602422105481306,-2.380859358943963,0.4815899210136201,300,True
LEVEL,pooled,vix,asset_price,a,0.1,10,0.9183905390837026,0.9034855389388473,0.31025481345876055,-0.567710926538066,2.404492004705471,299,True
LEVEL,pooled,vix,asset_price,a,0.1,11,1.4363203616567262,0.8446438864773709,0.09013084777096719,0.04700480150203523,2.825635921811417,298,True
LEVEL,pooled,vix,asset_price,a,0.1,12,1.8921119903307044,1.2216840184753914,0.12255368199712774,-0.1173793984471927,3.9016033791086016,297,True
LEVEL,pooled,vix,asset_price,a,0.1,13,1.2854929591267137,1.2563758981308801,0.3071018145283307,-0.781061493728278,3.3520474119817054,296,True
LEVEL,pooled,vix,asset_price,a,0.1,14,0.3568152937659761,1.179566634720452,0.7624970589739497,-1.5833991635849018,2.2970297511168543,295,True
LEVEL,pooled,vix,asset_price,a,0.1,15,-1.3524980789297842,1.1931728569517455,0.2579610597655281,-3.315092780266913,0.6100966224073443,294,True
LEVEL,pooled,vix,asset_price,a,0.1,16,-0.2244708913285649,1.4932536308026458,0.8806181279072162,-2.6806545419127517,2.231712759255622,293,True
LEVEL,pooled,vix,asset_price,a,0.1,17,-1.4516059296165622,1.2646258139037878,0.25201559981629357,-3.531730286352665,0.6285184271195408,292,True
LEVEL,pooled,vix,asset_price,a,0.1,18,-0.6501126835646573,1.0381916267442493,0.5317012693966995,-2.357785946285585,1.05756057915627,291,True
LEVEL,pooled,vix,asset_price,a,0.1,19,-0.1010578768873529,1.0057072633116035,0.9200327308968392,-1.7552991165968832,1.5531833628221774,290,True
LEVEL,pooled,vix,asset_price,a,0.1,20,-1.2120548005914316,1.178693505726223,0.30471062261447196,-3.150833088549355,0.7267234873664921,289,False
LEVEL,pooled,vix,asset_price,a,0.1,21,-1.2965840944161755,1.0992982515986265,0.23923604703284732,-3.1047688106595883,0.5116006218272373,288,True
LEVEL,pooled,vix,asset_price,a,0.1,22,-0.5982990765114664,1.3396520656936823,0.6555123185178302,-2.801830635620752,1.605232482597819,287,True
LEVEL,pooled,vix,asset_price,a,0.1,23,-1.1020962562988643,1.3118154186855957,0.40157303304979797,-3.2598406056147304,1.0556480930170018,286,True
LEVEL,pooled,vix,asset_price,a,0.1,24,-1.8799188559096365,1.0663655040115723,0.07904077391868561,-3.633934022839006,-0.12590368898026716,285,True
LEVEL,pooled,us10y,asset_price,a,0.1,0,-0.0005383810258656752,0.15045798450786976,0.9971473690363095,-0.24801974254744366,0.2469429804957123,309,True
LEVEL,pooled,us10y,asset_price,a,0.1,1,-0.12401921363655433,0.10154991146313529,0.2229646518293679,-0.29105395382329324,0.04301552655018462,308,True
LEVEL,pooled,us10y,asset_price,a,0.1,2,0.09276428731770636,0.09109199751722286,0.30934786542179943,-0.05706871518475215,0.24259728982016487,307,True
LEVEL,pooled,us10y,asset_price,a,0.1,3,-0.0007297057706452392,0.1655128218015968,0.9964853428967753,-0.27297407101797444,0.27151465947668396,306,True
LEVEL,pooled,us10y,asset_price,a,0.1,4,-0.08378114071280152,0.077661211981541,0.28156898897666155,-0.21152246691408635,0.04396018548848332,305,True
LEVEL,pooled,us10y,asset_price,a,0.1,5,-0.03942514222144666,0.08674108550565482,0.6497980717981819,-0.18210153132113077,0.10325124687823745,304,True
LEVEL,pooled,us10y,asset_price,a,0.1,6,-0.05507650585396462,0.1693130104545215,0.7451939481054358,-0.3335716251901568,0.22341861348222758,303,True
LEVEL,pooled,us10y,asset_price,a,0.1,7,-0.007732369866403133,0.10587960465621536,0.9418330706494733,-0.18188882160536696,0.1664240818725607,302,True
LEVEL,pooled,us10y,asset_price,a,0.1,8,-0.22472808534448063,0.09028279297230213,0.013371217377666883,-0.3732300648162807,-0.07622610587268058,301,True
LEVEL,pooled,us10y,asset_price,a,0.1,9,-0.13679399054979058,0.10719725510175043,0.20295691517688755,-0.31311778440314697,0.039529803303565814,300,True
LEVEL,pooled,us10y,asset_price,a,0.1,10,0.021050982555827602,0.19922792338638864,0.9159242167277445,-0.30664978981628377,0.348751754927939,299,True
LEVEL,pooled,us10y,asset_price,a,0.1,11,-0.1192887590083842,0.10497325373060663,0.25675851171690844,-0.2919543961400697,0.053376878123301275,298,True
LEVEL,pooled,us10y,asset_price,a,0.1,12,0.021731600458082312,0.0815038288319217,0.7899460138634972,-0.11233026800653606,0.15579346892270068,297,True
LEVEL,pooled,us10y,asset_price,a,0.1,13,-0.14646134145490208,0.08388327889089145,0.08189756704724285,-0.28443705697916677,-0.008485625930637425,296,True
LEVEL,pooled,us10y,asset_price,a,0.1,14,0.03945603934375175,0.18458981492428023,0.830897170060424,-0.26416718723275157,0.34307926592025506,295,True
LEVEL,pooled,us10y,asset_price,a,0.1,15,0.08376688093731133,0.10004875925116467,0.4031601678840752,-0.08079868358896153,0.24833244546358418,294,True
LEVEL,pooled,us10y,asset_price,a,0.1,16,-0.015869302318783696,0.098916977692301,0.8726580427117878,-0.17857325184304285,0.14683464720547545,293,True
LEVEL,pooled,us10y,asset_price,a,0.1,17,0.18805517686048745,0.08419076591615869,0.026299688095727226,0.04957369018747143,0.32653666353350347,292,True
LEVEL,pooled,us10y,asset_price,a,0.1,18,-0.02720709164316304,0.0876510356005982,0.7564883919775524,-0.1713802154568596,0.11696603217053353,291,True
LEVEL,pooled,us10y,asset_price,a,0.1,19,-0.08669528038117846,0.16123470948457258,0.591220124595972,-0.35190277706734463,0.1785122163049877,290,True
LEVEL,pooled,us10y,asset_price,a,0.1,20,-0.25012037029301837,0.08251482036957691,0.0026678681416157013,-0.3858451718551662,-0.11439556873087056,289,True
LEVEL,pooled,us10y,asset_price,a,0.1,21,0.10104975182207454,0.0821201627640678,0.21956118920838533,-0.03402589574624762,0.2361253993903967,288,True
LEVEL,pooled,us10y,asset_price,a,0.1,22,-0.18205991028278845,0.08124229720802503,0.02583341516995129,-0.3156915975072779,-0.048428223058299025,287,True
LEVEL,pooled,us10y,asset_price,a,0.1,23,-0.11629811976221305,0.15301175661374217,0.4478769902615453,-0.36798006259454275,0.13538382307011665,286,True
LEVEL,pooled,us10y,asset_price,a,0.1,24,0.2848492842476418,0.15935535164972126,0.07497246873587317,0.022733056112470507,0.546965512382813,285,True
LEVEL,pooled,ip,real_macro,a,0.1,0,-0.009474309553937132,0.19103491333930778,0.9604789719668877,-0.3236987796344577,0.30475016052658344,309,True
LEVEL,pooled,ip,real_macro,a,0.1,1,-0.279037833396643,0.2212541724933667,0.20824952065389535,-0.6429685615005039,0.08489289470721789,308,True
LEVEL,pooled,ip,real_macro,a,0.1,2,0.13622977289765004,0.2251888540335048,0.5456752054920907,-0.23417293040840598,0.506632476203706,307,True
LEVEL,pooled,ip,real_macro,a,0.1,3,0.415175335716782,0.19371521476344186,0.032921201737751156,0.09654216211745126,0.7338085093161127,306,True
LEVEL,pooled,ip,real_macro,a,0.1,4,0.10780279932646408,0.2238727804771865,0.6304975251968181,-0.26043515561714686,0.47604075427007503,305,True
LEVEL,pooled,ip,real_macro,a,0.1,5,0.08981310495028083,0.16979478642353535,0.5972441264613141,-0.18947446533592188,0.36910067523648354,304,True
LEVEL,pooled,ip,real_macro,a,0.1,6,0.42289267883438697,0.16907498932181528,0.012930175012988912,0.14478906942161768,0.7009962882471563,303,True
LEVEL,pooled,ip,real_macro,a,0.1,7,0.61753192781498,0.14261643270783791,2.0603340805950097e-05,0.3829487712126123,0.8521150844173477,302,True
LEVEL,pooled,ip,real_macro,a,0.1,8,-0.4797528231433468,0.2087762906634425,0.02228509091162274,-0.8231592620625849,-0.1363463842241086,301,True
