measure,channel,outcome,family,battery,tau,horizon,beta,se,pvalue,ci_low,ci_high,nobs,converged
LEVEL,pooled,ip,real_macro,a,0.1,3,0.400458771909058,0.2012960163212244,0.04760913170300742,0.06935628937220928,0.7315612544459067,300,True
LEVEL,pooled,ip,real_macro,a,0.1,4,0.04715086152069148,0.25601288562588426,0.8540081011389861,-0.37395286194735666,0.4682545849887396,299,True
LEVEL,pooled,ip,real_macro,a,0.1,5,0.09156639756966456,0.210179603220381,0.663415913633967,-0.2541482850986005,0.4372810802379296,298,True
LEVEL,pooled,ip,real_macro,a,0.1,6,0.45833083845508327,0.17359640583543728,0.008745335947683784,0.17279016069092457,0.743871516219242,297,True
LEVEL,pooled,ip,real_macro,a,0.1,7,0.47840576275561375,0.14651449748115744,0.0012286647142491396,0.23741086017275959,0.7194006653384679,296,True
LEVEL,pooled,ip,real_macro,a,0.1,8,-0.49921223908823364,0.2164342967711298,0.021808587970056695,-0.8552149771289178,-0.14320950104754948,295,True
LEVEL,pooled,ip,real_macro,a,0.1,9,-0.007295357761904597,0.23104877568845086,0.9748335008746515,-0.38733677445575015,0.37274605893194096,294,False
LEVEL,pooled,ip,real_macro,a,0.1,10,0.01364034416371851,0.23852475657486483,0.954437738657685,-0.3786979668061649,0.40597865513360193,293,True
LEVEL,pooled,ip,real_macro,a,0.1,11,0.39349584764105217,0.4446271801836856,0.37692047896336073,-0.33785078232528876,1.124842477607393,292,True
LEVEL,pooled,ip,real_macro,a,0.1,12,0.15445412954569093,0.4308699119764563,0.7202643257872725,-0.5542638079130447,0.8631720670044266,291,True
LEVEL,pooled,ip,real_macro,a,0.1,13,0.40832177410334225,0.2094635624250844,0.05226412043394616,0.06378487373426606,0.7528586744724184,290,True
LEVEL,pooled,ip,real_macro,a,0.1,14,-0.33078594639258085,0.2538052126438776,0.19356030434476837,-0.7482583709490527,0.08668647816389091,289,True
LEVEL,pooled,ip,real_macro,a,0.1,15,-0.03650734747145634,0.2692006847458341,0.8922261133401062,-0.4793030701534614,0.4062883752105487,288,True
LEVEL,pooled,ip,real_macro,a,0.1,16,0.037151538124106764,0.260460545681098,0.886681400616867,-0.39126793511720687,0.4655710113654204,287,True
LEVEL,pooled,ip,real_macro,a,0.1,17,0.19698313404131085,0.20597093325556037,0.3397377168598699,-0.14180890257067724,0.5357751706532989,286,True
