macro_var,shock,horizon,beta,se,tstat,pvalue,ci_low,ci_high,nobs
oil,GPRD,0,0.0004942645555790024,0.0008513442884295308,0.5805695325574675,0.5615306113341313,-0.0009060721850287314,0.0018946012961867363,9512
oil,GPRD,1,-0.0007208952202514087,0.001075279605472379,-0.6704258283915965,0.5025863742727887,-0.0024895727792995995,0.001047782338796782,9511
oil,GPRD,2,0.0006402631476215847,0.0009212762327142567,0.6949741292416136,0.48707151464170106,-0.0008751014051826488,0.0021556277004258183,9510
oil,GPRD,3,0.0013134057094044273,0.0009522173711730377,1.3793129060294722,0.1677982990208965,-0.00025285248721574,0.0028796639060245945,9509
oil,GPRD,4,-0.0002540066178831185,0.0008755687559211734,-0.2901047075576398,0.7717361344856596,-0.001694189061705449,0.0011861758259392118,9508
oil,GPRD,5,-3.1313819401672074e-05,0.0009210196696943456,-0.033999077796095324,0.9728778860894104,-0.0015462563635920633,0.0014836287247887193,9507
oil,GPRD,6,-0.0008180763851758337,0.0008666672858822719,-0.9439336161662403,0.34520357237145805,-0.002243617213719477,0.0006074644433678096,9506
oil,GPRD,7,0.0003129011904855529,0.0011069917371227497,0.2826590117997029,0.777438239211961,-0.0015079381833261127,0.0021337405642972186,9505
oil,GPRD,8,0.0012806964688287115,0.0011501374748152503,1.113515989933667,0.26548688482216753,-0.0006111113281139606,0.0031725042657713837,9504
oil,GPRD,9,0.00037963201263181137,0.0007340471465105919,0.5171766070291964,0.6050328803784573,-0.0008277680986595144,0.001587032123923137,9503
oil,GPRD,10,0.00029983679985324575,0.0007210286329546411,0.4158458986913881,0.6775227701241073,-0.0008861497621980575,0.0014858233619045491,9502
oil,GPRD,11,-2.6085743438615084e-05,0.0010279599385553356,-0.02537622572653484,0.9797548741223563,-0.0017169293767321714,0.0016647578898549413,9501
oil,GPRD,12,0.0004113649161393071,0.0009257711617892351,0.4443483801593726,0.6567907278897113,-0.0011113931370567943,0.0019341229693354087,9500
oil,GPRD,13,0.000736311063817298,0.0008481056940628822,0.8681831391674453,0.3852940830009546,-0.0006586986631002294,0.0021313207907348256,9499
oil,GPRD,14,-0.00033531546823922456,0.0007063727315857,-0.4747004707932199,0.6350004823287108,-0.001497195217767582,0.0008265642812891327,9498
oil,GPRD,15,-0.0009975129839972334,0.0007270986204126131,-1.371908783750911,0.17009183563001373,-0.002193483786934332,0.00019845781893986511,9497
oil,GPRD,16,0.00039012004308174475,0.0008002422246835879,0.4875024474445802,0.6259023088470473,-0.0009261612826287697,0.001706401368792259,9496
oil,GPRD,17,0.0005585749715649288,0.0008545671520664417,0.653634966209771,0.5133470111893668,-0.000847062907985148,0.0019642128511150056,9495
oil,GPRD,18,0.0003774378882838141,0.0007989748906939569,0.4724026908480028,0.6366393840615872,-0.000936758858517297,0.0016916346350849252,9494
oil,GPRD,19,-0.0010100897071852624,0.0009193456334397054,-1.09870506852362,0.2718967310436258,-0.0025222787067705607,0.0005020992924000358,9493
oil,GPRD,20,-0.0006311400095566211,0.0012915294982790212,-0.48867641846169435,0.6250708013880564,-0.0027555169891156843,0.0014932369700024419,9492
oil,GPRD,21,-0.0003181872951386986,0.0007692818475104699,-0.41361601884719895,0.6791553398530191,-0.0015835433321642245,0.0009471687418868273,9491
oil,GPRD,22,0.0007422179856254699,0.0008980282741804289,0.8264973464258051,0.4085220227216957,-0.0007349070782651797,0.0022193430495161194,9490
oil,GPRD,23,0.0005352811083373021,0.0008609499113284438,0.6217331592628479,0.5341173438937483,-0.000880855475934837,0.0019514176926094411,9489
oil,GPRD,24,-0.0011135641614236653,0.0008590695040911822,-1.296244548456781,0.19489124608826747,-0.002526607751031449,0.0002994794281841182,9488
oil,GPRD,25,-0.0004207707806214062,0.0008364597175251564,-0.5030377097732165,0.614937759721083,-0.0017966245807914637,0.0009550830195486511,9487
oil,GPRD,26,0.0005146737761232014,0.0011082060911252098,0.4644206346137574,0.6423464091290557,-0.0013081630322738136,0.0023375105845202166,9486
oil,GPRD,27,-2.2397546922177066e-06,0.0007634209530297577,-0.0029338396900542006,0.9976591379655642,-0.0012579554781739642,0.0012534759687895286,9485
oil,GPRD,28,0.00024296004511664796,0.0007966703765073559,0.30496934777692797,0.7603894978609042,-0.0010674461131662712,0.0015533662033995672,9484
oil,GPRD,29,-0.0020316640021261164,0.0009070883325041527,-2.2397642316899886,0.025106233118173536,-0.003523691535810935,-0.0005396364684412979,9483
oil,GPRD,30,0.0014376313031206791,0.000830802398304385,1.7304130393157187,0.08355650581733481,7.108296498972992e-05,0.0028041796412516286,9482
oil,GPRD_ACT,0,0.0003323022219883668,0.0005083513909798467,0.6536860681109865,0.5133140808529075,-0.00050386140723066,0.0011684658512073935,9512
oil,GPRD_ACT,1,0.00039416255955758667,0.0009955129228242823,0.3959391691665264,0.6921499045073498,-0.0012433104822269952,0.0020316356013421683,9511
oil,GPRD_ACT,2,-0.0005342718510799444,0.0007786361234802935,-0.6861637098108078,0.4926098793957434,-0.0018150143028619395,0.0007464706007020508,9510
oil,GPRD_ACT,3,5.010092068017857e-05,0.00045121914889933914,0.11103456225736423,0.9115889394578297,-0.0006920885329368558,0.0007922903742972129,9509
oil,GPRD_ACT,4,-3.94308611744813e-05,0.0005699970906084537,-0.06917730252340432,0.9448484897804548,-0.0009769926430135832,0.0008981309206646207,9508
oil,GPRD_ACT,5,-0.00021895611131582553,0.0005050932583870886,-0.4334964042383318,0.6646541777884111,-0.0010497605893225652,0.0006118483666909142,9507
oil,GPRD_ACT,6,-0.0003035865174408067,0.0005704469254623143,-0.5321906454220388,0.5945939612745417,-0.0012418882117708105,0.0006347151768891971,9506
oil,GPRD_ACT,7,-0.00022710363086520137,0.0005902391879833975,-0.38476542305013717,0.7004112189649114,-0.0011979606999885845,0.0007437534382581819,9505
oil,GPRD_ACT,8,0.0007313128195452186,0.0005969559961622628,1.225069895011885,0.22054888685483165,-0.00025059241587270845,0.0017132180549631457,9504
oil,GPRD_ACT,9,0.0006385429461042395,0.0005844008899100309,1.0926454034020103,0.27454951962309393,-0.0003227109772579428,0.0015997968694664217,9503
oil,GPRD_ACT,10,0.00015750486857523386,0.0004393162854907319,0.3585227176345064,0.7199521700644398,-0.0005651061169930449,0.0008801158541435125,9502
oil,GPRD_ACT,11,-0.0002899521447719348,0.0006018564850519418,-0.4817629318173936,0.629974364704006,-0.0012799179671138857,0.000700013677570016,9501
oil,GPRD_ACT,12,7.59326823697881e-05,0.000608486317338818,0.12478946560684485,0.9006902274261547,-0.0009249382436553112,0.0010768036083948875,9500
oil,GPRD_ACT,13,0.00040131613490910996,0.000712083238184383,0.5635803700875702,0.5730397492466958,-0.0007699565621098214,0.0015725888319280414,9499
oil,GPRD_ACT,14,0.0009329032840926421,0.0007344257164387301,1.2702486626099376,0.20399606860429464,-0.0002751195193180366,0.002140926087503321,9498
oil,GPRD_ACT,15,-0.0005559434345241201,0.0004602691477451856,-1.2078659567942662,0.22709882614231225,-0.0013130188115666516,0.00020113194251841142,9497
oil,GPRD_ACT,16,0.0012505202441913277,0.0005134082224835102,2.435723055120124,0.01486205837251776,0.0004060388673326177,0.0020950016210500378,9496
oil,GPRD_ACT,17,-0.00030756222453742906,0.0005469625839348074,-0.5623094404828384,0.5739052073813038,-0.0012072356145293461,0.000592111165454488,9495
oil,GPRD_ACT,18,-0.0004901916793632683,0.000668410365607986,-0.7333693559904476,0.4633331841734486,-0.0015896288935255236,0.0006092455347989871,9494
oil,GPRD_ACT,19,-1.974040323154457e-05,0.0004680985184116571,-0.04217147129311011,0.9663620049309763,-0.0007896939490115693,0.0007502131425484801,9493
oil,GPRD_ACT,20,-0.0002553400482492811,0.00072053430111485,-0.3543759788454277,0.7230571341365435,-0.0014405135067809861,0.0009298334102824241,9492
oil,GPRD_ACT,21,0.0002633489930496104,0.0006568164153599645,0.4009476421281029,0.688458672554534,-0.0008170178699964917,0.0013437158560957126,9491
oil,GPRD_ACT,22,-0.0003766543160146214,0.0004322164078147159,-0.8714484438917621,0.3835093445604555,-0.0010875870420365935,0.0003342784100073507,9490
oil,GPRD_ACT,23,0.0006092506634057605,0.0005481728510106135,1.1114207175392647,0.266387298785543,-0.0002924134387753761,0.0015109147655868972,9489
oil,GPRD_ACT,24,-8.139512218203138e-05,0.0005046240705672486,-0.1612985327682348,0.8718582788111985,-0.0009114278549015859,0.0007486376105375231,9488
oil,GPRD_ACT,25,4.288700685545699e-05,0.0005103736536923079,0.08403060492090475,0.933032098606358,-0.0007966029485208103,0.0008823769622317242,9487
oil,GPRD_ACT,26,-0.00014409661996815575,0.0006818597810460976,-0.21132881565046288,0.8326306990027454,-0.0012656561538941663,0.0009774629139578546,9486
oil,GPRD_ACT,27,0.0001316493766954729,0.0005931175912481382,0.22196167950175621,0.8243437145620893,-0.000843942244477748,0.0011072409978686937,9485
oil,GPRD_ACT,28,-4.75483391673142e-05,0.0005215968237144073,-0.09115918081845645,0.9273661088458227,-0.0009054987664603247,0.0008104020881256962,9484
oil,GPRD_ACT,29,-0.000583201556363658,0.00048424816075364857,-1.204344391222892,0.22845649573101745,-0.0013797188999238766,0.00021331578719656038,9483
oil,GPRD_ACT,30,0.0013272959810887058,0.0007505173041376137,1.7685081659960433,0.07697598825011129,9.280487128811082e-05,0.0025617870908893007,9482
oil,GPRD_THREAT,0,-1.7546929146889485e-06,0.0006019736428207892,-0.002914899905694592,0.9976742496624722,-0.0009919132226376543,0.0009884038368082762,9512
oil,GPRD_THREAT,1,-0.0012425084083536938,0.0006866692426597867,-1.8094714764576985,0.07037778758261219,-0.0023719788026586646,-0.0001130380140487231,9511
oil,GPRD_THREAT,2,0.0002844660142777322,0.0006391368269615975,0.44507842808880155,0.6562630775587383,-0.000766820513668307,0.0013357525422237713,9510
oil,GPRD_THREAT,3,0.0009005657385249931,0.0006608561198129411,1.3627258816637775,0.17296891779836687,-0.00018644584704239958,0.0019875773240923857,9509
oil,GPRD_THREAT,4,0.0002208433031247017,0.0005929788497982249,0.3724303205752597,0.7095724824079181,-0.0007545201086714209,0.0011962067149208242,9508
