measure,channel,outcome,family,battery,horizon,beta,beta_std,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged
LEVEL,pooled,oil,asset_price,a,17,-0.02559175486640914,-0.009016615056844677,0.05400631322374157,-0.47386598600770286,0.6355954760455624,-0.11442423505075772,0.06324072531793942,-0.1785201660155123,0.12733665628269403,2.831676558174586,286,True
LEVEL,pooled,oil,asset_price,a,18,-0.026972864459920205,-0.009503214495648686,0.030888418259423196,-0.8732355355131056,0.38253470947761303,-0.07777979126472653,0.023834062344886116,-0.1144388743642207,0.0604931454443803,2.831676558174586,285,True
LEVEL,pooled,oil,asset_price,a,19,0.034344956902484194,0.012100586972255255,0.033416119378909676,1.02779609185143,0.3040457550363739,-0.02061966825655876,0.08930958206152714,-0.06027868500793784,0.12896859881290623,2.831676558174586,284,True
LEVEL,pooled,oil,asset_price,a,20,0.04517443686901114,0.015916083511421878,0.030180036251723594,1.4968317629648709,0.13443703923246733,-0.0044673052211633285,0.0948161789591856,-0.04028566430985375,0.13063453804787603,2.831676558174586,283,True
LEVEL,pooled,oil,asset_price,a,21,0.00577241202756841,0.002033765072922004,0.023303281922373634,0.24770811453927782,0.8043602530155434,-0.03255807576232054,0.04410289981745736,-0.06021494512055062,0.07175976917568744,2.831676558174586,282,True
LEVEL,pooled,oil,asset_price,a,22,-0.014346191688539619,-0.005054521999859104,0.030031065943859143,-0.47771170411862046,0.6328554127835271,-0.06374289942751517,0.03505051605043592,-0.0993844571387607,0.07069207376168146,2.831676558174586,281,True
LEVEL,pooled,oil,asset_price,a,23,-0.02960105790193042,-0.01042919275252212,0.05215201967817587,-0.5675917842606125,0.5703121870916124,-0.11538349662242255,0.05618138081856171,-0.17727870948608077,0.11807659368221991,2.831676558174586,280,True
LEVEL,pooled,oil,asset_price,a,24,0.0928335235799825,0.03270757128069755,0.05613081384504616,1.6538780969087186,0.0981522838109793,0.0005065508432204047,0.18516049631674458,-0.06611078617629622,0.2517778333362612,2.831676558174586,279,True
LEVEL,pooled,dxy,asset_price,a,0,-0.004028093190440354,-0.0014191979370265886,0.004843294490892264,-0.8316845481965051,0.4055870246644795,-0.01199460370017858,0.003938417319297871,-0.01774519919314256,0.00968901281226185,2.832184998970638,303,True
LEVEL,pooled,dxy,asset_price,a,1,0.0018136027593705212,0.0006389775938632134,0.004453065311614421,0.4072706399882141,0.6838092241250266,-0.005511037869490246,0.009138243388231288,-0.010798302015620351,0.014425507534361393,2.832184998970638,302,True
LEVEL,pooled,dxy,asset_price,a,2,0.0036823748688375782,0.0012973927290499288,0.004056903364114653,0.9076811889112353,0.3640466853224331,-0.002990637343818038,0.010355387081493195,-0.007807525981281458,0.015172275718956615,2.832184998970638,301,True
LEVEL,pooled,dxy,asset_price,a,3,0.0023069555750019556,0.0008127981250843016,0.004352179439241282,0.530069039479707,0.5960640641473142,-0.004851742560777691,0.009465653710781603,-0.010019221745645646,0.014633132895649556,2.832184998970638,300,True
LEVEL,pooled,dxy,asset_price,a,4,-0.0005187044326430567,-0.0001827525397080243,0.0036745593416505594,-0.14116098949978098,0.887742763292683,-0.006562816693205393,0.0055254078279192795,-0.010925736277893195,0.009888327412607081,2.832184998970638,299,True
LEVEL,pooled,dxy,asset_price,a,5,0.00020118095776410893,7.088108112926847e-05,0.005529113993234848,0.03638574968978105,0.9709747767562655,-0.008893402247836368,0.009295764163364587,-0.01545829275147427,0.01586065466700249,2.832184998970638,298,True
LEVEL,pooled,dxy,asset_price,a,6,-0.004851603567872615,-0.0017093412315128031,0.00514729150812283,-0.9425546542713586,0.3459087432358504,-0.013318144673984966,0.003614937538239736,-0.019429685362507047,0.009726478226761818,2.832184998970638,297,True
LEVEL,pooled,dxy,asset_price,a,7,-0.010028233342683348,-0.00353319732168401,0.004459575188674055,-2.2486969987975463,0.02453178026214724,-0.017363581766436664,-0.0026928849189300323,-0.022658575293827657,0.0026021086084609627,2.832184998970638,296,True
LEVEL,pooled,dxy,asset_price,a,8,-0.01228422623562658,-0.0043280400197651,0.004455821568381825,-2.7568936608221764,0.005835332514437206,-0.01961340050342802,-0.004955051967825138,-0.024903937239687403,0.00033548476843424553,2.832184998970638,295,True
