month,gpr_salience,gpr_salience_max,binding_any,n_docs
2015-09-01,0.4,0.4,True,1
2015-10-01,0.0969,0.4,True,2
2015-11-01,0.0112,0.1,False,1
2015-12-01,0.0,0.0,False,1
2016-01-01,0.0,0.0,False,1
2016-02-01,0.1583,0.4,True,1
2016-03-01,0.0,0.0,False,1
2016-04-01,0.05025,0.4,True,2
2016-05-01,0.0191,0.1,False,1
2016-06-01,0.0,0.0,False,1
2016-07-01,0.09855,0.4,True,2
2016-08-01,0.1575,0.4,True,1
2016-09-01,0.0,0.0,False,1
2016-10-01,0.0,0.0,False,1
2016-11-01,0.0391,0.4,True,2
2016-12-01,0.0,0.0,False,1
2017-01-01,0.0,0.0,False,1
2017-02-01,0.0,0.0,False,2
2017-03-01,0.0,0.0,False,1
2017-04-01,0.0,0.0,False,1
2017-05-01,0.08415,0.4,True,2
2017-06-01,0.0,0.0,False,1
2017-07-01,0.0,0.0,False,2
2017-08-01,0.0,0.0,False,1
2017-09-01,0.0,0.0,False,1
2017-10-01,0.1211,0.4,True,1
2017-11-01,0.2,0.4,True,2
2017-12-01,0.0,0.0,False,1
2018-01-01,0.0,0.0,False,2
2018-02-01,0.0,0.0,False,1
2018-03-01,0.0,0.0,False,1
2018-04-01,0.0976,0.4,True,1
2018-05-01,0.0,0.0,False,2
2018-06-01,0.0,0.0,False,1
2018-07-01,0.0992,0.4,True,1
2018-08-01,0.1293,0.4,True,2
2018-09-01,0.0,0.0,False,1
2018-10-01,0.0998,0.4,True,1
2018-11-01,0.1291,0.4,True,2
2018-12-01,0.0,0.0,False,1
2019-01-01,0.13475,0.4,True,2
2019-02-01,0.0975,0.4,True,1
2019-03-01,0.0,0.0,False,1
2019-04-01,0.0179,0.1,False,1
2019-05-01,0.0,0.0,False,2
2019-06-01,0.0,0.0,False,1
2019-07-01,0.24315,0.4,True,2
2019-08-01,0.1823,0.4,True,1
2019-09-01,0.4,0.4,True,1
2019-10-01,0.2444666666666667,0.4,True,3
2019-11-01,0.1132,0.4,True,1
2019-12-01,0.0,0.0,False,1
2020-01-01,0.0524,0.4,True,2
2020-02-01,0.1069,0.4,True,1
2020-03-01,0.0,0.0,False,4
2020-04-01,0.08125,0.9,True,2
2020-05-01,0.0,0.0,False,1
2020-06-01,0.0,0.0,False,1
2020-07-01,0.00885,0.1,True,2
2020-08-01,0.03955,0.4,True,2
2020-09-01,0.0,0.0,False,1
2020-10-01,0.0724,0.4,True,1
2020-11-01,0.0,0.0,False,1
2020-12-01,0.0,0.0,False,1
2021-01-01,0.0,0.0,False,2
2021-02-01,0.0,0.0,False,1
2021-03-01,0.0,0.0,False,1
2021-04-01,0.0,0.0,False,2
2021-05-01,0.0,0.0,False,1
2021-06-01,0.0,0.0,False,1
2021-07-01,0.0,0.0,False,2
2021-08-01,0.0,0.0,False,1
2021-09-01,0.0,0.0,False,1
2021-10-01,0.0,0.0,False,1
2021-11-01,0.04305,0.4,True,2
2021-12-01,0.0,0.0,False,1
2022-01-01,0.0,0.0,False,2
2022-02-01,0.1056,0.4,True,1
2022-03-01,0.7,0.7,True,1
2022-04-01,0.5968,0.9,True,1
2022-05-01,0.54105,0.7,True,2
2022-06-01,0.6,0.6,True,1
2022-07-01,0.35495,0.4,True,2
2022-08-01,0.3487,0.6,True,1
2022-09-01,0.6,0.6,True,1
2022-10-01,0.3178,0.7,True,1
2022-11-01,0.3483,0.7,True,1
2022-12-01,0.4,0.4,True,1
2023-01-01,0.3082,0.4,True,1
2023-02-01,0.26005,0.4,True,2
2023-03-01,0.0,0.0,False,1
2023-04-01,0.1192,0.4,True,1
2023-05-01,0.0,0.0,False,2
2023-06-01,0.0,0.0,False,1
2023-07-01,0.0,0.0,False,2
2023-08-01,0.0,0.0,False,1
2023-09-01,0.0,0.0,False,1
2023-10-01,0.0,0.0,False,1
2023-11-01,0.09745,0.4,True,2
2023-12-01,0.0,0.0,False,1
2024-01-01,0.0129,0.1,True,2
2024-02-01,0.0941,0.4,True,1
2024-03-01,0.0,0.0,False,1
2024-04-01,0.098,0.4,True,1
2024-05-01,0.04995,0.4,True,2
2024-06-01,0.0,0.0,False,1
2024-07-01,0.05455,0.4,True,2
2024-08-01,0.1315,0.4,True,1
2024-09-01,0.0,0.0,False,1
2024-10-01,0.1069,0.4,True,1
2024-11-01,0.048,0.3,True,2
2024-12-01,0.0,0.0,False,1
2025-01-01,0.05135,0.4,True,2
2025-02-01,0.0867,0.4,True,1
2025-03-01,0.0,0.0,False,1
2025-04-01,0.0975,0.4,True,1
2025-05-01,0.13935,0.6,True,2
2025-06-01,0.0,0.0,False,1
2025-07-01,0.0498,0.4,True,2
2025-08-01,0.05015,0.4,True,2
2025-09-01,0.0,0.0,False,1
2025-10-01,0.0,0.0,False,2
2025-11-01,0.0208,0.1,True,1
2025-12-01,0.0,0.0,False,2
2026-01-01,0.0,0.0,False,1
2026-02-01,0.1077,0.4,True,1
2026-03-01,0.4,0.4,True,1
2026-04-01,0.4335,0.6,True,2
2026-05-01,0.5544,0.6,True,1
2026-06-01,0.3,0.3,True,1
2026-07-01,0.3137,0.6,True,2
