measure,channel,outcome,family,battery,horizon,beta,beta_std,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged,rank,threshold,pvalue_adj,reject,family_size
LEVEL,pooled,infl_exp,real_macro,b,6,0.07843049872727961,0.027977554219442462,0.07181635346648231,1.0920980381423044,0.27479001166326733,-0.039696890746492755,0.19655788820105197,-0.125038088952034,0.2818990864065932,2.833179044300477,303,True,1.0,0.03333333333333333,0.824370034989802,False,3.0
LEVEL,pooled,freight,physical_channel,b,6,0.0031396114122266834,0.0011199552462236276,0.005863390196956396,0.5354600848253988,0.5923317515210844,-0.006504807219468752,0.01278403004392212,-0.013446239540871194,0.01972546236532456,2.8287134909949128,303,True,1.0,0.1,0.5923317515210844,False,1.0
LEVEL,act,oil,asset_price,a,1,-0.0429232463876007,-0.02106646621260803,0.022977198054699104,-1.8680800977307326,0.06175090720728832,-0.08071737394505483,-0.0051291188301465646,-0.10787255248129275,0.022026059706091353,2.826685218061615,308,True,1.0,0.025,0.24700362882915328,False,4.0
LEVEL,act,dxy,asset_price,a,1,-0.0010502586445602486,-0.00051546050478883,0.0029942790266143347,-0.350755101720693,0.7257720833166528,-0.0059754093615915615,0.003874892072471064,-0.009540851750317807,0.007440334461197309,2.8356051758335856,308,True,4.0,0.1,1.0,False,4.0
LEVEL,act,vix,asset_price,a,1,-1.113337884791085,-0.5464194092258386,0.9108065469047647,-1.2223648244235747,0.22156969510766544,-2.6114813369185335,0.3848055673363633,-3.5807048698866444,1.354029100304474,2.7089912709570703,308,True,2.0,0.03333333333333333,0.6647090853229963,False,4.0
LEVEL,act,us10y,asset_price,a,1,0.022298086362855324,0.010943764102255848,0.05655279511029391,0.39428796259084564,0.6933684494356074,-0.0707229837885551,0.11531915651426575,-0.13638520417965733,0.18098137690536797,2.805931877160721,308,True,3.0,0.05,1.0,False,4.0
LEVEL,act,ip,real_macro,a,1,0.003172537330957459,0.0015570618747551082,0.26054358195010313,0.012176609023380332,0.9902847117385583,-0.4253835184185978,0.4317285930805127,-0.7416780682960856,0.7480231429580005,2.8588330599127554,308,True,3.0,0.1,1.0,False,3.0
LEVEL,act,cpi,real_macro,a,1,-0.0064513593154409375,-0.0031662876059484245,0.06635767986658428,-0.09722098976956015,0.9225508995772267,-0.11560002972007678,0.1026973110891949,-0.19222314271903992,0.17932042408815804,2.799552120826154,308,True,2.0,0.05,1.0,False,3.0
LEVEL,act,infl_exp,real_macro,a,1,-0.11044843677054783,-0.054207415731123594,0.09850870869116247,-1.121204797403425,0.26220069813524816,-0.27248084354751245,0.05158397000641679,-0.38701429547617383,0.16611742193507817,2.807526993097592,308,True,1.0,0.03333333333333333,0.7866020944057445,False,3.0
LEVEL,act,freight,physical_channel,a,1,0.004963554790893532,0.00243608226536642,0.009029329822700933,0.5497146397747591,0.5825151140056077,-0.009888371116917191,0.019815480698704254,-0.020522224814514597,0.030449334396301663,2.822554952122083,308,True,1.0,0.1,0.5825151140056077,False,1.0
LEVEL,act,oil,asset_price,a,2,-0.003101970687868433,-0.0015224281988921947,0.025341675270045893,-0.12240590469308842,0.9025775624092216,-0.044785317168829844,0.03858137579309298,-0.07473490957462475,0.06853096819888788,2.826685218061615,307,True,4.0,0.1,1.0,False,4.0
LEVEL,act,dxy,asset_price,a,2,0.006896303987529006,0.0033846637235510056,0.002683729815211567,2.569671487956901,0.01017949953324739,0.0024819612672204562,0.011310646707837557,-0.0007136941670238253,0.014506302142081838,2.8356051758335856,307,True,1.0,0.025,0.04071799813298956,True,4.0
