macro_var,shock,horizon,beta,se,tstat,pvalue,ci_low,ci_high,nobs
oil,GPRD,0,-0.00042852636552320235,0.0004402783685062863,-0.9733077892903199,0.3304003522896949,-0.0011527198368290442,0.0002956671057826395,9512
oil,GPRD,1,-0.0006034492982904855,0.0004347516278114238,-1.3880322917439087,0.16512721229283756,-0.0013185520901191623,0.00011165349353819151,9511
oil,GPRD,2,-0.000294694695677827,0.00041557993817503507,-0.709116751332945,0.4782520285508113,-0.000978262864273302,0.000388873472917648,9510
oil,GPRD,3,-0.00012820110851014256,0.00041402348907949887,-0.30964694489960687,0.7568294527508868,-0.0008092091461656595,0.0005528069291453743,9509
oil,GPRD,4,-0.0004497216739927089,0.0003480307530376307,-1.2921894690843108,0.1962915377409742,-0.0010221813204173077,0.00012273797243189004,9508
oil,GPRD,5,-0.00023153657005093293,0.0003193788895474294,-0.7249589050141292,0.46847724184774353,-0.0007568680948947558,0.00029379495479288993,9507
oil,GPRD,6,-0.0003943387749672081,0.0002645631265742794,-1.490528102208879,0.13608543302072207,-0.000829506393270533,4.0828843336116784e-05,9506
oil,GPRD,7,-0.0001506497020926158,0.00035675791727226663,-0.42227430646660213,0.6728248098687368,-0.0007374642562615569,0.00043616485207632525,9505
oil,GPRD,8,-3.86276756490726e-05,0.00031088493041461367,-0.12425071745213431,0.9011167666054768,-0.0005499878810061059,0.0004727325297079607,9504
oil,GPRD,9,-0.00019222585662771678,0.00023655869286235556,-0.8125926564007759,0.41645164333590445,-0.0005813302805692616,0.0001968785673138281,9503
oil,GPRD,10,-8.404655509042946e-05,0.00023476488374161452,-0.35800309548395776,0.7203409970184456,-0.0004702004255936648,0.00030210731541280587,9502
oil,GPRD,11,-0.0002588668985656943,0.00024651334970855434,-1.0501131028877146,0.2936661151716382,-0.0006643452759257666,0.00014661147879437795,9501
oil,GPRD,12,-9.994185694976515e-05,0.0002381587722753883,-0.4196438199395828,0.674745671715856,-0.0004916781773172473,0.000291794463417717,9500
oil,GPRD,13,-0.00023261972640817666,0.00022483468424154578,-1.0346256281271407,0.3008437806100972,-0.0006024398722473722,0.00013720041943101892,9499
oil,GPRD,14,-0.00015048922026067582,0.00021778451316337754,-0.6910005586475373,0.4895651899768956,-0.0005087128666313181,0.00020773442610996638,9498
oil,GPRD,15,-0.000314157994666163,0.0002102846151678211,-1.4939656637050887,0.13518459406408076,-0.0006600454066170481,3.172941728472211e-05,9497
oil,GPRD,16,-0.0001337585760351542,0.00025503601454710206,-0.524469362778764,0.5999521235421779,-0.0005532554895662034,0.00028573833749589506,9496
oil,GPRD,17,-0.00013582381603965022,0.00025072183985275004,-0.5417310917924825,0.588003767615767,-0.0005482245436773923,0.00027657691159809183,9495
oil,GPRD,18,-0.00016309378100071476,0.00025458128101675737,-0.6406354008014414,0.5217595937486896,-0.0005818427244350801,0.00025565516243365055,9494
oil,GPRD,19,-0.00013784088866990337,0.00023298627850791437,-0.5916266380692501,0.5541006320220576,-0.0005210692139035721,0.0002453874365637654,9493
oil,GPRD,20,-0.00019753591117260767,0.00025841416856346597,-0.7644159461948902,0.44461940897641594,-0.0006225893935898738,0.00022751757124465845,9492
oil,GPRD,21,-0.00015726095928733164,0.00027034800665352426,-0.5816982386294269,0.5607699581611876,-0.0006019438585704818,0.0002874219399958185,9491
oil,GPRD,22,4.7146866935167675e-05,0.00027785226386770024,0.16968322042399023,0.865259270859417,-0.00040987943704429657,0.000504173170914632,9490
oil,GPRD,23,5.328074920349814e-06,0.0002592669033846749,0.020550540199280803,0.983604195325846,-0.0004211280314604097,0.00043178418130110927,9489
oil,GPRD,24,-0.00013826316950168988,0.00022653032857863694,-0.6103516927257433,0.5416288609716569,-0.0005108724020787696,0.00023434606307538982,9488
oil,GPRD,25,-8.87186284221702e-05,0.0002298296354131421,-0.3860190974183528,0.6994825252348311,-0.00046675473781241153,0.0002893174809680711,9487
