measure,channel,outcome,family,battery,horizon,beta,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged,rank,threshold,pvalue_adj,reject,family_size
LEVEL,pooled,freight,physical_channel,b,1,0.018656231963551234,0.012760977118652494,1.4619751912478356,0.14374800836747775,-0.0023337075335090676,0.039646171460611536,-0.017095497790180963,0.05440796171728343,2.80164515783627,224,True,1.0,0.1,0.14374800836747775,False,1.0
LEVEL,pooled,oil,asset_price,b,2,0.005200239386122327,0.05524506895260449,0.09413038095008416,0.9250055870113832,-0.08566981265175334,0.09607029142399799,-0.15129577284594461,0.16169625161818926,2.8327598317657463,223,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,b,2,0.0021909351043206274,0.0063775117308941765,0.34354074077311675,0.731191696887465,-0.008299138197166222,0.012681008405807475,-0.015760557417497698,0.02014242762613895,2.8148113683361875,223,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,vix,asset_price,b,2,-1.7594004771592657,2.582374317809087,-0.6813111736070699,0.49567461461506,-6.007028239953877,2.4882272856353453,-8.877491492806573,5.358690538488043,2.75641333890215,223,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,b,2,0.0035754554914344426,0.07822482690281236,0.04570742605639306,0.9635434448602269,-0.12509293475730757,0.13224384574017647,-0.21775571586330925,0.22490662684617815,2.8294236001279836,223,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,ip,real_macro,b,2,-1.1182590981019205,0.9573685719863735,-1.1680549485573013,0.2427846010530933,-2.6929902660630587,0.4564720698592175,-3.8038623197935486,1.5673441235897076,2.8051925875522192,223,True,2.0,0.05,0.4855692021061866,False,3.0
LEVEL,pooled,cpi,real_macro,b,2,-0.06165956010441678,0.1640750923194002,-0.37580085577148975,0.7070649515493442,-0.33153907079837985,0.20821995058954626,-0.5280440564196006,0.4047249362107671,2.84250637755112,223,True,3.0,0.1,0.7070649515493442,False,3.0
LEVEL,pooled,infl_exp,real_macro,b,2,-0.2126976670005558,0.11282601153874995,-1.8851828944383544,0.05940514943099377,-0.3982799412945373,-0.027115392706574315,-0.531286531648097,0.1058911976469854,2.8237182215567573,223,True,1.0,0.03333333333333333,0.1782154482929813,False,3.0
LEVEL,pooled,freight,physical_channel,b,2,0.016064053609426525,0.013752930958790176,1.1680458265631877,0.24278828036674238,-0.006557504759352684,0.03868561197820573,-0.0224667788173245,0.05459488603617755,2.80164515783627,223,True,1.0,0.1,0.24278828036674238,False,1.0
LEVEL,pooled,oil,asset_price,b,6,-0.003958762078648509,0.05728439462327046,-0.06910716443253384,0.9449043182724568,-0.09818320634245434,0.09026568218515732,-0.16623169415446676,0.15831416999716974,2.8327598317657463,219,True,4.0,0.1,1.0,False,4.0
